label,ra,dec,theta
J0540-6919,5.66977833333333,-69.3317138888889,85.046675
J0540-7125,5.67522222222222,-71.4253888888889,85.1283333333333
J0542-68,5.70972222222222,-68.2666666666667,85.6458333333333
J0543+2329,5.71935,23.4847222222222,85.79025
J0543-6851,5.73130833333333,-68.8570277777778,85.969625
J0545-03,5.75,-3.16666666666667,86.25
J0546+2441,5.77465555555556,24.6891666666667,86.6198333333333
J0554+3107,5.90139166666667,31.1280555555556,88.520875
J0555+3948,5.91666666666667,39.8,88.75
J0555-7056,5.91718055555556,-70.946,88.7577083333333
J0557+1550,5.95873588333333,15.8350127777778,89.38103825
J0600-5756,6.01291666666667,-57.9483333333333,90.19375
J0601-0527,6.03305058333333,-5.46404444444444,90.49575875
J0605+37,6.08333333333333,37,91.25
J0608+00,6.14694444444445,0.65,92.2041666666667
J0609+2130,6.16635725,21.5007888888889,92.49535875
J0610-2100,6.17044226111111,-21.0077821666667,92.5566339166667
J0610+37,6.18333333333333,37.3,92.75
J0611+30,6.18777777777778,30.2666666666667,92.8166666666667
J0613-0200,6.22888198388889,-2.01310380555556,93.4332297583333
J0613+3731,6.22004166666667,37.5273055555556,93.300625
J0614+2229,6.2381,22.51,93.5715
J0614-3329,6.23620772222222,-33.4983661111111,93.5431158333333
J0614+83,6.23333333333333,83.2333333333333,93.5
J0621+0336,6.35311694444444,3.61264444444444,95.2967541666667
J0621+1002,6.35614196666667,10.0440947222222,95.3421295
J0621+25,6.35,25,95.25
J0622+3749,6.36958611111111,37.8204444444444,95.5437916666667
J0623+0340,6.39632194444444,3.66855555555556,95.9448291666667
J0625+10,6.42916666666667,10.2666666666667,96.4375
J0627+0649,6.46489683333333,6.83170277777778,96.9734525
J0627+0706,6.46227083333333,7.10925,96.9340625
J0627+16,6.45361111111111,16.2,96.8041666666667
J0628+0909,6.4767175,9.15386111111111,97.1507625
J0629+2415,6.48492444444444,24.2620277777778,97.2738666666667
J0630-0046,6.50748777777778,-0.768291666666667,97.6123166666667
J0630-2834,6.5137234425,-28.5785496694444,97.7058516375
J0631+1036,6.52431222222222,10.6173611111111,97.8646833333333
J0633+0632,6.56228055555556,6.54302777777778,98.4342083333333
J0633+1746,6.5650425,17.7702525,98.4756375
J0633-2015,6.55246111111111,-20.2519722222222,98.2869166666667
J0635+0533,6.58833333333333,5.55305555555555,98.825
J0636-4549,6.60937333333333,-45.8257277777778,99.1406
J0636+5129,6.60134623611111,51.4833229166667,99.0201935416667
J0645+5158,6.76641164166667,51.9708113888889,101.496174625
J0645+80,6.76666666666667,80.15,101.5
J0646+0905,6.77527638888889,9.09702777777778,101.629145833333
J0647+0913,6.78768888888889,9.23319444444444,101.815333333333
J0652-0142,6.86975166666667,-1.70841666666667,103.046275
J0653+8051,6.887525,80.8667277777778,103.312875
