label,ra,dec,theta,p0,kPc
J0521-68,5.36222222222222,-68.5833333333333,80.4333333333333,0.43342070,+3.21
J0522-6847,5.37307222222222,-68.7839444444444,80.5960833333333,0.67453190906,+3.21
J0525-6607,5.43358333333333,-66.07675,81.50375,8.0470,+7.68
J0529-6652,5.49747777777778,-66.8772777777778,82.4621666666667,0.97572496638,+3.26
J0532-6639,5.54986388888889,-66.6603611111111,83.2479583333333,0.64274275093,+3.27
J0532-69,5.53444444444444,-69.7666666666667,83.0166666666667,0.57459786,+3.30
J0533+0402,5.55717222222222,4.03347222222222,83.3575833333333,0.96301770198,+6.66
J0533+67,5.55,67,83.25,0.00439,+5.80
J0534-6703,5.57671388888889,-67.0635555555556,83.6507083333333,1.81756503106,+3.30
J0535-66,5.59444444444444,-66.8666666666667,83.9166666666667,0.210524357,+3.30
J0535-6935,5.58333333333333,-69.5833333333333,83.75,0.20051133,+3.33
J0536-7543,5.60855277777778,-75.7324166666667,84.1282916666667,1.24585559629,1.04
J0537-69,5.62861111111111,-69.35,84.4291666666667,0.112613212,+3.35
J0540+3207,5.67697666666667,32.1270277777778,85.15465,0.5242708632083,2.37
J0540-7125,5.67522222222222,-71.4253888888889,85.1283333333333,1.286014595,2.69
J0542-68,5.70972222222222,-68.2666666666667,85.6458333333333,0.42518900,+3.38
J0543-6851,5.73130833333333,-68.8570277777778,85.969625,0.70895418575,+3.39
J0545-03,5.75,-3.16666666666667,86.25,1.07393,+6.30
J0546+2441,5.77465555555556,24.6891666666667,86.6198333333333,2.84385038524,3.16
J0555+3948,5.91666666666667,39.8,88.75,1.1469058,1.76
J0555-7056,5.91718055555556,-70.946,88.7577083333333,0.82783808575,+3.51
J0600-5756,6.01291666666667,-57.9483333333333,90.19375,2.261364513,2.55
J0605+37,6.08333333333333,37,91.25,0.00273,1.16
J0608+00,6.14694444444445,0.65,92.2041666666667,1.0762,2.58
J0609+2130,6.16635725,21.5007888888889,92.49535875,0.05569801392951,1.82
J0610-2100,6.17044226111111,-21.0077821666667,92.5566339166667,0.0038613247042986,+5.64
J0610+37,6.18333333333333,37.3,92.75,0.443861,1.88
J0611+30,6.18777777777778,30.2666666666667,92.8166666666667,1.412090,1.95
J0614+83,6.23333333333333,83.2333333333333,93.5,1.039203,+4.04
J0621+0336,6.35311694444444,3.61264444444444,95.2967541666667,0.2699540683678,3.58
J0621+1002,6.35614196666667,10.0440947222222,95.3421295,0.028853860730049,1.88
J0621+25,6.35,25,95.25,0.00272,4.25
J0623+0340,6.39632194444444,3.66855555555556,95.9448291666667,0.613759600022,2.53
J0625+10,6.42916666666667,10.2666666666667,96.4375,0.498397,3.36
J0627+0649,6.46489683333333,6.83170277777778,96.9734525,0.346522567131,4.00
J0627+0706,6.46227083333333,7.10925,96.9340625,0.47587700897,7.88
J0627+16,6.45361111111111,16.2,96.8041666666667,2.180,5.87
J0628+0909,6.4767175,9.15386111111111,97.1507625,1.241421391299,4.00
J0630-0046,6.50748777777778,-0.768291666666667,97.6123166666667,0.680574832268,5.57
J0633-2015,6.55246111111111,-20.2519722222222,98.2869166666667,3.2532108384,+7.84
J0636-4549,6.60937333333333,-45.8257277777778,99.1406,1.98459736713,0.98
J0636+5129,6.60134623611111,51.4833229166667,99.0201935416667,0.00286895284631431,0.61
J0645+5158,6.76641164166667,51.9708113888889,101.496174625,0.00885349668613151,+5.12
J0645+80,6.76666666666667,80.15,101.5,0.657873,+3.95
J0646+0905,6.77527638888889,9.09702777777778,101.629145833333,0.9039132,9.50
J0647+0913,6.78768888888889,9.23319444444444,101.815333333333,1.23485362778,10.84
J0652-0142,6.86975166666667,-1.70841666666667,103.046275,0.924053918109,5.83
J0656-2228,6.94172416666667,-22.4737638888889,104.1258625,1.22475441462,1.79
J0656-5449,6.94694166666667,-54.8208111111111,104.204125,0.183156898795,+4.88
J0658+0022,6.97089138888889,0.376472222222222,104.563370833333,0.563294925255,6.46
J0709-5923,7.15903694444444,-59.3987777777778,107.385554166667,0.485268383925,+4.94
J0711+0931,7.19338333333333,9.52361111111111,107.90075,1.21409049248,2.39
J0719-2545,7.31871666666667,-25.7500638888889,109.78075,0.974724730631,+17.33
J0721-2038,7.36191797222222,-20.6352947222222,110.428769583333,0.01554239497400,3.87
J0726-2612,7.43558888888889,-26.2105833333333,111.533833333333,3.4423084877,3.01
J0735-62,7.58944444444444,-62.9666666666667,113.841666666667,4.862940,0.83
J0737+69,7.61666666666667,69.2333333333333,114.25,6.82424,0.94
J0738-4042,7.64231361111111,-40.7113722222222,114.634704166667,0.374919985032,+11.03
J0740+41,7.68333333333333,41.0666666666667,115.25,0.0031392150,1.29
J0742+66,7.7,66.3333333333333,115.5,0.00288570374,0.87
J0745-5353,7.75063888888889,-53.8561111111111,116.259583333333,0.2148363514,+7.14
J0746-4529,7.78319944444444,-45.4907361111111,116.747991666667,2.79102517845,5.71
J0746+66,7.76666666666667,66.6,116.5,0.4076702,2.38
J0749-4247,7.83046527777778,-42.7950388888889,117.456979166667,1.095452157610,2.36
J0750+57,7.83333333333333,57,117.5,1.174875,2.19
J0804-3647,8.07283333333333,-36.7931944444444,121.0925,2.19198689593,7.79
J0806+08,8.10138888888889,8.28333333333333,121.520833333333,2.0631,+5.07
J0807-5421,8.12977361111111,-54.35735,121.946604166667,0.52664353143,+8.76
J0808-3937,8.13656388888889,-39.6313611111111,122.048458333333,0.86634928471,5.62
J0809-4753,8.16219166666667,-47.89865,122.432875,0.547199235502,+12.71
J0812-3905,8.20411166666667,-39.0969222222222,123.061675,0.482595929159,+26.83
J0815+0939,8.25243777777778,9.66408333333333,123.786566666667,0.64516119106,+4.52
J0818-3049,8.31369444444445,-30.8252777777778,124.705416666667,0.7637418483,4.17
J0818-3232,8.30720416666667,-32.5418138888889,124.6080625,2.161258926939,3.82
J0820-3826,8.34998111111111,-38.4452444444444,125.249716666667,0.1248363804193,6.82
J0820-3921,8.346975,-39.3654722222222,125.204625,1.07356658405,6.19
J0820-4114,8.337625,-41.2434444444444,125.064375,0.54544553611,2.38
J0821-4221,8.36239888888889,-42.3570722222222,125.435983333333,0.3967282353771,18.16
J0824+00,8.40444444444445,0.45,126.066666666667,0.0099,2.57
J0831-4406,8.525675,-44.1033055555556,127.885125,0.311673518473,12.73
J0834-4159,8.57119444444444,-41.9975,128.567916666667,0.121116349354,9.74
J0834-60,8.58055555555556,-60.5833333333333,128.708333333333,0.384645,0.49
J0835-42,8.59361111111111,-42.5436111111111,128.904166666667,0.7384,6.75
J0837-4135,8.6225505,-41.587325,129.3382575,0.751623617646,4.22
J0838-2621,8.63855583333333,-26.3582083333333,129.5783375,0.3085806621443,4.56
J0840-5332,8.67607777777778,-53.5431944444444,130.141166666667,0.72061236106,7.77
J0842-4851,8.70149166666667,-48.8557777777778,130.522375,0.64435405580,8.68
J0843+0719,8.72606111111111,7.31327777777778,130.890916666667,1.36586,+3.72
J0843-5022,8.71941222222222,-50.3786388888889,130.791183333333,0.2089556931527,7.69
J0847-4316,8.79925833333333,-43.2824444444444,131.988875,5.9774927370,13.44
J0848+16,8.81472222222222,16.7166666666667,132.220833333333,0.4524,+3.21
